"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2018/07/03","10038","‐","1"
"2018/07/04","9936","-102","1"
"2018/07/05","9942","6","105"
"2018/07/06","10057","115","106"
"2018/07/09","10121","64","162"
"2018/07/10","10265","144","175"
"2018/07/11","10288","23","227"
"2018/07/12","10330","42","272"
"2018/07/13","10475","145","315"
"2018/07/17","10445","-30","370"
"2018/07/18","10541","96","430"
"2018/07/19","10540","-1","532"
"2018/07/20","10486","-54","572"
"2018/07/23","10322","-164","646"
"2018/07/24","10371","49","688"
"2018/07/25","10423","52","765"
"2018/07/26","10462","39","823"
"2018/07/27","10469","7","879"
"2018/07/30","10398","-71","897"
"2018/07/31","10330","-68","931"
"2018/08/01","10458","128","1009"
"2018/08/02","10437","-21","1049"
"2018/08/03","10497","60","1144"
"2018/08/06","10493","-4","1198"
"2018/08/07","10539","46","1249"
"2018/08/08","10581","42","1346"
"2018/08/09","10526","-55","1366"
"2018/08/10","10515","-11","1522"
"2018/08/13","10409","-106","1588"
"2018/08/14","10388","-21","1649"
"2018/08/15","10514","126","1736"
"2018/08/16","10361","-153","1783"
"2018/08/17","10473","112","1871"
"2018/08/20","10477","4","1926"
"2018/08/21","10439","-38","1953"
"2018/08/22","10490","51","2023"
"2018/08/23","10540","50","2061"
"2018/08/24","10592","52","2113"
"2018/08/27","10627","35","2157"
"2018/08/28","10712","85","2206"
"2018/08/29","10715","3","2291"
"2018/08/30","10828","113","2351"
"2018/08/31","10714","-114","2374"
"2018/09/03","10709","-5","2422"
"2018/09/04","10718","9","2479"
"2018/09/05","10743","25","2485"
"2018/09/06","10688","-55","2604"
"2018/09/07","10580","-108","2605"
"2018/09/10","10598","18","2664"
"2018/09/11","10668","70","2715"
"2018/09/12","10720","52","2817"
"2018/09/13","10710","-10","2870"
"2018/09/14","10834","124","2960"
"2018/09/18","10751","-83","2953"
"2018/09/19","10855","104","3012"
"2018/09/20","10876","21","3116"
"2018/09/21","10984","108","3196"
"2018/09/25","10981","-3","3242"
"2018/09/26","10959","-22","3360"
"2018/09/27","10919","-40","3463"
"2018/09/28","11016","97","3582"
"2018/10/01","11051","35","3661"
"2018/10/02","11097","46","3838"
"2018/10/03","11056","-41","3993"
"2018/10/04","11143","87","4101"
"2018/10/05","11026","-117","4185"
"2018/10/09","10849","-177","4195"
"2018/10/10","10845","-4","4313"
"2018/10/11","10420","-425","4317"
"2018/10/12","10195","-225","4349"
"2018/10/15","10324","129","4537"
"2018/10/16","10250","-74","4772"
"2018/10/17","10520","270","5229"
"2018/10/18","10545","25","5370"
"2018/10/19","10362","-183","5446"
"2018/10/22","10369","7","5561"
"2018/10/23","10351","-18","5630"
"2018/10/24","10267","-84","5705"
"2018/10/25","9911","-356","5559"
"2018/10/26","10133","222","5782"
"2018/10/29","9916","-217","5784"
"2018/10/30","9898","-18","5880"
"2018/10/31","10121","223","6083"
"2018/11/01","10188","67","6209"
"2018/11/02","10303","115","6378"
"2018/11/05","10272","-31","6499"
"2018/11/06","10330","58","6617"
"2018/11/07","10387","57","6758"
"2018/11/08","10652","265","6975"
"2018/11/09","10667","15","7165"
"2018/11/12","10561","-106","7214"
"2018/11/13","10328","-233","7099"
"2018/11/14","10339","11","7225"
"2018/11/15","10238","-101","7242"
"2018/11/16","10349","111","7396"
"2018/11/19","10288","-61","7428"
"2018/11/20","10112","-176","7353"
"2018/11/21","9949","-163","7295"
"2018/11/22","9996","47","7374"
"2018/11/26","9927","-69","7427"
"2018/11/27","10124","197","7574"
"2018/11/28","10182","58","7697"
"2018/11/29","10402","220","7963"
"2018/11/30","10368","-34","7991"
"2018/12/03","10468","100","8108"
"2018/12/04","10580","112","8264"
"2018/12/05","10173","-407","8099"
"2018/12/06","10178","5","8082"
"2018/12/07","10151","-27","8061"
"2018/12/10","9893","-258","7972"
"2018/12/11","9964","71","8090"
"2018/12/12","9998","34","8218"
"2018/12/13","10041","43","8348"
"2018/12/14","10057","16","8455"
"2018/12/17","9854","-203","8364"
"2018/12/18","9593","-261","8207"
"2018/12/19","9566","-27","8299"
"2018/12/20","9429","-137","8241"
"2018/12/21","9183","-246","8095"
"2018/12/25","8645","-538","7706"
"2018/12/26","8693","48","7845"
"2018/12/27","9162","469","8268"
"2018/12/28","9231","69","8573"
"2019/01/04","8809","-422","8310"
"2019/01/07","9184","375","8772"
"2019/01/08","9272","88","9102"
"2019/01/09","9354","82","9315"
"2019/01/10","9350","-4","9372"
"2019/01/11","9416","66","9562"
"2019/01/15","9360","-56","9571"
"2019/01/16","9463","103","9796"
"2019/01/17","9531","68","9986"
"2019/01/18","9641","110","10211"
"2019/01/21","9794","153","10391"
"2019/01/22","9796","2","10483"
"2019/01/23","9640","-156","10316"
"2019/01/24","9665","25","10403"
"2019/01/25","9698","33","10525"
"2019/01/28","9744","46","10625"
"2019/01/29","9653","-91","10688"
"2019/01/30","9660","7","10769"
"2019/01/31","9770","110","10918"
"2019/02/01","9854","84","11052"
"2019/02/04","9917","63","11174"
"2019/02/05","10029","112","11486"
"2019/02/06","10059","30","11624"
"2019/02/07","10047","-12","11742"
"2019/02/08","9945","-102","11662"
"2019/02/12","10026","81","11843"
"2019/02/13","10156","130","12032"
"2019/02/14","10227","71","12206"
"2019/02/15","10153","-74","12190"
"2019/02/18","10274","121","12361"
"2019/02/19","10273","-1","12444"
"2019/02/20","10309","36","12488"
"2019/02/21","10325","16","12577"
"2019/02/22","10296","-29","12572"
"2019/02/25","10363","67","12683"
"2019/02/26","10398","35","12815"
"2019/02/27","10350","-48","12857"
"2019/02/28","10372","22","13011"
"2019/03/01","10408","36","13139"
"2019/03/04","10526","118","13374"
"2019/03/05","10474","-52","13518"
"2019/03/06","10447","-27","13591"
"2019/03/07","10373","-74","13568"
"2019/03/08","10282","-91","13493"
"2019/03/11","10203","-79","13416"
"2019/03/12","10401","198","13661"
"2019/03/13","10415","14","13769"
"2019/03/14","10488","73","13975"
"2019/03/15","10543","55","14086"
"2019/03/18","10562","19","14151"
"2019/03/19","10578","16","14247"
"2019/03/20","10608","30","14350"
"2019/03/22","10604","-4","14413"
"2019/03/25","10326","-278","14097"
"2019/03/26","10346","20","14170"
"2019/03/27","10450","104","14337"
"2019/03/28","10386","-64","14330"
"2019/03/29","10484","98","14557"
"2019/04/01","10565","81","14720"
"2019/04/02","10721","156","14965"
"2019/04/03","10728","7","15254"
"2019/04/04","10754","26","15315"
"2019/04/05","10804","50","15453"
"2019/04/08","10818","14","15466"
"2019/04/09","10827","9","15553"
"2019/04/10","10743","-84","15540"
"2019/04/11","10773","30","15632"
"2019/04/12","10840","67","15818"
"2019/04/15","10934","94","16053"
"2019/04/16","10925","-9","16156"
"2019/04/17","10944","19","16359"
"2019/04/18","10910","-34","16491"
"2019/04/19","10925","15","16583"
"2019/04/22","10923","-2","16622"
"2019/04/23","10922","-1","16620"
"2019/04/24","11027","105","16938"
"2019/04/25","11035","8","17010"
"2019/04/26","10989","-46","16995"
"2019/05/07","10900","-89","16760"
"2019/05/08","10675","-225","16476"
"2019/05/09","10640","-35","16870"
"2019/05/10","10595","-45","17039"
"2019/05/13","10626","31","17162"
"2019/05/14","10340","-286","16761"
"2019/05/15","10443","103","17081"
"2019/05/16","10495","52","17287"
"2019/05/17","10638","143","17708"
"2019/05/20","10593","-45","17741"
"2019/05/21","10522","-71","17749"
"2019/05/22","10646","124","18091"
"2019/05/23","10591","-55","18087"
"2019/05/24","10416","-175","17984"
"2019/05/27","10408","-8","18221"
"2019/05/28","10415","7","18359"
"2019/05/29","10300","-115","18156"
"2019/05/30","10260","-40","18310"
"2019/05/31","10259","-1","18447"
"2019/06/03","10031","-228","18072"
"2019/06/04","9966","-65","18020"
"2019/06/05","10198","232","18684"
"2019/06/06","10308","110","19016"
"2019/06/07","10385","77","19320"
"2019/06/10","10495","110","19609"
"2019/06/11","10543","48","19793"
"2019/06/12","10548","5","19906"
"2019/06/13","10519","-29","19935"
"2019/06/14","10557","38","20060"
"2019/06/17","10563","6","20214"
"2019/06/18","10565","2","20257"
"2019/06/19","10662","97","20584"
"2019/06/20","10622","-40","20563"
"2019/06/21","10684","62","20771"
"2019/06/24","10673","-11","20876"
"2019/06/25","10641","-32","20839"
"2019/06/26","10545","-96","20889"
"2019/06/27","10570","25","21043"
"2019/06/28","10619","49","21218"
"2019/07/01","10725","106","21580"
"2019/07/02","10830","105","21868"
"2019/07/03","10785","-45","22497"
"2019/07/04","10881","96","22749"
"2019/07/05","10891","10","22835"
"2019/07/08","10935","44","22928"
"2019/07/09","10916","-19","23026"
"2019/07/10","10946","30","23207"
"2019/07/11","10914","-32","23231"
"2019/07/12","10973","59","23513"
"2019/07/16","10968","-5","23569"
"2019/07/17","10967","-1","23793"
"2019/07/18","10847","-120","23769"
"2019/07/19","10858","11","23867"
"2019/07/22","10833","-25","23843"
"2019/07/23","10872","39","24010"
"2019/07/24","10962","90","24357"
"2019/07/25","11015","53","24568"
"2019/07/26","11010","-5","24710"
"2019/07/29","11060","50","24990"
"2019/07/30","11088","28","25123"
"2019/07/31","11035","-53","25099"
"2019/08/01","10978","-57","24991"
"2019/08/02","10671","-307","24383"
"2019/08/05","10514","-157","24536"
"2019/08/06","10152","-362","23571"
"2019/08/07","10316","164","24151"
"2019/08/08","10319","3","24507"
"2019/08/09","10506","187","25350"
"2019/08/13","10257","-249","25022"
"2019/08/14","10503","246","25820"
"2019/08/15","10166","-337","25279"
"2019/08/16","10203","37","25489"
"2019/08/19","10377","174","26290"
"2019/08/20","10526","149","26937"
"2019/08/21","10415","-111","26864"
"2019/08/22","10528","113","27293"
"2019/08/23","10525","-3","27384"
"2019/08/26","10102","-423","26323"
"2019/08/27","10286","184","26872"
"2019/08/28","10243","-43","27112"
"2019/08/29","10340","97","27499"
"2019/08/30","10515","175","28069"
"2019/09/02","10491","-24","28070"
"2019/09/03","10510","19","28214"
"2019/09/04","10399","-111","27916"
"2019/09/05","10561","162","28924"
"2019/09/06","10765","204","29544"
"2019/09/09","10764","-1","29574"
"2019/09/10","10814","50","29601"
"2019/09/11","10838","24","29707"
"2019/09/12","10960","122","30115"
"2019/09/13","11010","50","30289"
"2019/09/17","10965","-45","30223"
"2019/09/18","10994","29","30326"
"2019/09/19","11020","26","30433"
"2019/09/20","10983","-37","30388"
"2019/09/24","10891","-92","30164"
"2019/09/25","10743","-148","29809"
"2019/09/26","10871","128","30213"
"2019/09/27","10856","-15","30274"
"2019/09/30","10808","-48","30204"
"2019/10/01","10890","82","30492"
"2019/10/02","10709","-181","30058"
"2019/10/03","10456","-253","29866"
"2019/10/04","10520","64","30187"
"2019/10/07","10657","137","30696"
"2019/10/08","10674","17","30903"
"2019/10/09","10482","-192","30520"
"2019/10/10","10605","123","30957"
"2019/10/11","10749","144","31455"
"2019/10/15","10880","131","31979"
"2019/10/16","11021","141","32457"
"2019/10/17","11000","-21","32532"
"2019/10/18","11028","28","32735"
"2019/10/21","10966","-62","32507"
"2019/10/23","10991","25","32608"
"2019/10/24","11050","59","32905"
"2019/10/25","11076","26","33010"
"2019/10/28","11128","52","33216"
"2019/10/29","11210","82","33504"
"2019/10/30","11188","-22","33447"
"2019/10/31","11227","39","33513"
"2019/11/01","11106","-121","33176"
"2019/11/05","11334","228","33888"
"2019/11/06","11351","17","34486"
"2019/11/07","11344","-7","34599"
"2019/11/08","11427","83","34889"
"2019/11/11","11434","7","34948"
"2019/11/12","11413","-21","34984"
"2019/11/13","11406","-7","35135"
"2019/11/14","11402","-4","35229"
"2019/11/15","11394","-8","35314"
"2019/11/18","11504","110","35782"
"2019/11/19","11481","-23","36047"
"2019/11/20","11481","0","36333"
"2019/11/21","11420","-61","36365"
"2019/11/22","11431","11","36521"
"2019/11/25","11469","38","36608"
"2019/11/26","11582","113","37052"
"2019/11/27","11617","35","37427"
"2019/11/28","11693","76","37802"
"2019/11/29","11711","18","37932"
"2019/12/02","11680","-31","37830"
"2019/12/03","11524","-156","37501"
"2019/12/04","11386","-138","37905"
"2019/12/05","11494","108","38406"
"2019/12/06","11504","10","38572"
"2019/12/09","11587","83","39078"
"2019/12/10","11558","-29","39179"
